Depth,Loss,BIAS,VARIANCE
1,0.3629838570573374,0.3629838570573374,0.0
2,0.3629838570573374,0.3629838570573374,0.0
3,0.3629838570573374,0.3629838570573374,0.0
4,0.3627495966800937,0.3629838570573374,0.012098420203537037
5,0.3617962803250911,0.3612772304351796,0.012872916180484388
6,0.36117722739125585,0.3611006828535771,0.006667491908235842
7,0.3609669531337196,0.36049798593707194,0.011086985196383816
8,0.36092044197773876,0.36038840467952554,0.011010846515214548
9,0.36097912882900246,0.36022809135830025,0.011331067301155677
10,0.36115437766977493,0.3602991162474507,0.013152226630274868
11,0.3613436285601226,0.36022606207575314,0.01629562588146961
12,0.36166466105908257,0.3603599947238654,0.021059975445681185
13,0.3620401189159572,0.3603904339620727,0.025495865336810166
14,0.3624902949562182,0.360433048895563,0.03019438497519201
15,0.3628734640867722,0.36044319530829877,0.032105766206357744
16,0.3633563927473442,0.36062583073754273,0.035358665543797005
17,0.3638250352587842,0.3608044076016924,0.037051939486794444
18,0.36429095853161114,0.3611006828535771,0.03867520318191505
19,0.36469231003378755,0.36156944712197003,0.040100692999989855
20,0.3650943920776809,0.3619489229582881,0.04083086944610733
21,0.365531621295291,0.3622634617530972,0.04270150268372616
22,0.36586933449678866,0.36256176628752906,0.04359588867355947
23,0.3661778260296073,0.3629574763842244,0.044187668049960924
24,0.36641151820773765,0.363056911229035,0.04463743823371247
25,0.36664943129356614,0.3633775378714855,0.044854246781050565
26,0.3668433495337723,0.3635906125389369,0.04529833497367006
27,0.3670087766470164,0.3637894822285581,0.0454364885294804
28,0.36715082642531727,0.36388079994318007,0.045769453209817665
29,0.3672455127489676,0.36391529774648174,0.045486449465791355
30,0.36736215590977817,0.36407561106770703,0.045381332629848725
31,0.3674235619996551,0.36415881165214037,0.04506399342512454
32,0.3674627677384661,0.3640979331757257,0.045104092048256335
33,0.3675199935062959,0.364166928782329,0.044884442505352236
34,0.3675366742088334,0.36422577797619654,0.04486224215428635
35,0.36756488123623887,0.36423795367147943,0.0447820854936737
36,0.3675849711334558,0.3641953387379892,0.04471491624136287
37,0.36757912679971994,0.36415678236959326,0.044608825349797585
38,0.3675844029343425,0.3641892508903477,0.04450622482421339
39,0.3675960510161632,0.36417504591251765,0.044495307284109706
40,0.36760956603792727,0.3641791044776119,0.04451888754730766
41,0.3676035999472387,0.3641993973030835,0.04455090962590176
42,0.36760778026928576,0.3641953387379892,0.04457335349087332
43,0.3676067656280123,0.3641730166299705,0.0445513154824112
44,0.36761049950789904,0.3641709873474233,0.04456487108982619
45,0.3676106212648518,0.36417707519506476,0.04456483050417525
46,0.36761110829266314,0.3641791044776119,0.04456288239292997
47,0.36761187942003104,0.36416895806487615,0.04456454640461864
48,0.3676105806792008,0.3641811337601591,0.04456332883509033
49,0.3676101748226915,0.3641730166299705,0.04456414054810923
50,0.3676096877948801,0.36417707519506476,0.04456235477946771
51,0.3676096877948801,0.36417707519506476,0.04456235477946771
52,0.3676096877948801,0.36417707519506476,0.04456235477946771
53,0.3676096877948801,0.36417707519506476,0.04456235477946771
54,0.3676096877948801,0.36417707519506476,0.04456235477946771
55,0.3676096877948801,0.36417707519506476,0.04456235477946771
56,0.3676096877948801,0.36417707519506476,0.04456235477946771
57,0.3676096877948801,0.36417707519506476,0.04456235477946771
58,0.3676096877948801,0.36417707519506476,0.04456235477946771
59,0.3676096877948801,0.36417707519506476,0.04456235477946771
60,0.3676096877948801,0.36417707519506476,0.04456235477946771
61,0.3676096877948801,0.36417707519506476,0.04456235477946771
62,0.3676096877948801,0.36417707519506476,0.04456235477946771
63,0.3676096877948801,0.36417707519506476,0.04456235477946771
64,0.3676096877948801,0.36417707519506476,0.04456235477946771
65,0.3676096877948801,0.36417707519506476,0.04456235477946771
66,0.3676096877948801,0.36417707519506476,0.04456235477946771
67,0.3676096877948801,0.36417707519506476,0.04456235477946771
68,0.3676096877948801,0.36417707519506476,0.04456235477946771
69,0.3676096877948801,0.36417707519506476,0.04456235477946771
70,0.3676096877948801,0.36417707519506476,0.04456235477946771
71,0.3676096877948801,0.36417707519506476,0.04456235477946771
72,0.3676096877948801,0.36417707519506476,0.04456235477946771
73,0.3676096877948801,0.36417707519506476,0.04456235477946771
74,0.3676096877948801,0.36417707519506476,0.04456235477946771
75,0.3676096877948801,0.36417707519506476,0.04456235477946771
76,0.3676096877948801,0.36417707519506476,0.04456235477946771
77,0.3676096877948801,0.36417707519506476,0.04456235477946771
78,0.3676096877948801,0.36417707519506476,0.04456235477946771
79,0.3676096877948801,0.36417707519506476,0.04456235477946771
80,0.3676096877948801,0.36417707519506476,0.04456235477946771
81,0.3676096877948801,0.36417707519506476,0.04456235477946771
82,0.3676096877948801,0.36417707519506476,0.04456235477946771
83,0.3676096877948801,0.36417707519506476,0.04456235477946771
84,0.3676096877948801,0.36417707519506476,0.04456235477946771
85,0.3676096877948801,0.36417707519506476,0.04456235477946771
86,0.3676096877948801,0.36417707519506476,0.04456235477946771
87,0.3676096877948801,0.36417707519506476,0.04456235477946771
88,0.3676096877948801,0.36417707519506476,0.04456235477946771
89,0.3676096877948801,0.36417707519506476,0.04456235477946771
90,0.3676096877948801,0.36417707519506476,0.04456235477946771
91,0.3676096877948801,0.36417707519506476,0.04456235477946771
92,0.3676096877948801,0.36417707519506476,0.04456235477946771
93,0.3676096877948801,0.36417707519506476,0.04456235477946771
94,0.3676096877948801,0.36417707519506476,0.04456235477946771
95,0.3676096877948801,0.36417707519506476,0.04456235477946771
96,0.3676096877948801,0.36417707519506476,0.04456235477946771
97,0.3676096877948801,0.36417707519506476,0.04456235477946771
98,0.3676096877948801,0.36417707519506476,0.04456235477946771
99,0.3676096877948801,0.36417707519506476,0.04456235477946771
100,0.3676096877948801,0.36417707519506476,0.04456235477946771
