Depth,Loss,BIAS,VARIANCE
1,0.28708695652173916,0.2565217391304348,0.1386521739130435
2,0.2743478260869565,0.21739130434782608,0.14691304347826087
3,0.29641304347826086,0.2565217391304348,0.15632608695652175
4,0.2729782608695652,0.21739130434782608,0.1605
5,0.27845652173913044,0.21739130434782608,0.16858695652173913
6,0.2814347826086957,0.2,0.18678260869565214
7,0.2807173913043478,0.19130434782608696,0.19650000000000004
8,0.28528260869565214,0.20869565217391303,0.20763043478260867
9,0.28391304347826085,0.18695652173913044,0.20921739130434786
10,0.28389130434782606,0.19130434782608696,0.21302173913043473
11,0.28145652173913044,0.19130434782608696,0.21293478260869567
12,0.2808260869565218,0.1782608695652174,0.21299999999999997
13,0.27899999999999997,0.16956521739130434,0.21204347826086958
14,0.27921739130434786,0.16956521739130434,0.212
15,0.27843478260869564,0.17391304347826086,0.21152173913043482
16,0.2782173913043478,0.16956521739130434,0.2115652173913044
17,0.278,0.16521739130434782,0.21134782608695651
18,0.2782173913043478,0.16521739130434782,0.21147826086956523
19,0.2781521739130435,0.16956521739130434,0.21132608695652175
20,0.2781521739130435,0.16956521739130434,0.21132608695652175
