,CV_Fold,Accuracy,Recall,Precision,FPR
0,1,72.22222222222221,70.0,60.86956521739131,26.470588235294112
1,2,69.44444444444444,39.02439024390244,66.66666666666666,11.940298507462687
2,3,82.4074074074074,75.60975609756098,77.5,13.432835820895528
3,4,71.02803738317756,57.49999999999999,62.16216216216216,20.895522388059707
4,5,76.63551401869158,55.00000000000001,75.86206896551724,10.447761194029848
5,0,78.26086956521739,77.27272727272727,59.30232558139535,21.34146341463414
