CV_Fold,Accuracy,Recall,Precision,FPR,ROC_AUC
1,73.14814814814815,27.027027027027028,83.33333333333334,2.8169014084507005,62.10506280928817
2,75.0,43.24324324324324,72.72727272727273,8.450704225352112,67.39626950894558
3,76.85185185185185,70.27027027027027,65.0,19.718309859154925,75.27598020555767
4,71.02803738317756,75.67567567567568,56.00000000000001,31.428571428571427,72.12355212355213
5,71.96261682242991,67.56756756756756,58.139534883720934,25.71428571428571,70.92664092664094
6,71.29629629629629,32.432432432432435,66.66666666666666,8.450704225352112,61.990864103540154
7,76.85185185185185,40.54054054054054,83.33333333333334,4.225352112676061,68.15759421393224
8,74.07407407407408,54.054054054054056,64.51612903225806,15.492957746478876,69.28054815378759
9,72.89719626168224,27.027027027027028,83.33333333333334,2.857142857142858,62.08494208494207
10,75.70093457943925,35.13513513513514,86.66666666666667,2.857142857142858,66.13899613899615
11,79.62962962962963,45.94594594594595,89.47368421052632,2.8169014084507005,71.56452226874762
12,71.29629629629629,32.432432432432435,66.66666666666666,8.450704225352112,61.990864103540154
13,76.85185185185185,40.54054054054054,83.33333333333334,4.225352112676061,68.15759421393224
14,72.89719626168224,37.83783783783784,70.0,8.571428571428575,64.63320463320463
15,67.28971962616822,35.13513513513514,54.166666666666664,15.714285714285714,59.710424710424704
16,72.22222222222221,40.54054054054054,65.21739130434783,11.267605633802813,64.63646745336888
17,69.44444444444444,24.324324324324326,64.28571428571429,7.042253521126762,58.641035401598785
18,72.22222222222221,32.432432432432435,70.58823529411765,7.042253521126762,62.69508945565284
19,75.70093457943925,48.64864864864865,72.0,9.999999999999998,69.32432432432432
20,73.83177570093457,40.54054054054054,71.42857142857143,8.571428571428575,65.98455598455598
21,75.0,45.94594594594595,70.83333333333334,9.859154929577462,68.04339550818423
22,67.5925925925926,45.94594594594595,53.125,21.126760563380287,62.40959269128283
23,74.07407407407408,48.64864864864865,66.66666666666666,12.676056338028175,67.98629615531023
24,70.09345794392523,45.94594594594595,58.620689655172406,17.14285714285714,64.4015444015444
25,76.63551401869158,43.24324324324324,80.0,5.714285714285716,68.76447876447877
0,73.04347826086956,49.39759036144578,67.21311475409836,13.605442176870753,67.89607409228752
