MinSamplesLeaf,Loss,BiasSquare,Variance
0.001,0.2790869565217391,0.1826086956521739,0.21282608695652175
0.009142857142857144,0.2746521739130435,0.14782608695652175,0.2107391304347826
0.017285714285714286,0.2567608695652174,0.16521739130434782,0.19163043478260872
0.02542857142857143,0.24906521739130433,0.17391304347826086,0.18028260869565216
0.03357142857142857,0.24132608695652175,0.17391304347826086,0.1698478260869565
0.04171428571428572,0.23428260869565218,0.1782608695652174,0.16119565217391305
0.04985714285714286,0.23254347826086957,0.1826086956521739,0.15984782608695652
0.057999999999999996,0.22808695652173916,0.2,0.14978260869565216
0.06614285714285714,0.22645652173913042,0.20434782608695654,0.1444565217391304
0.07428571428571429,0.22293478260869568,0.1956521739130435,0.13754347826086954
0.08242857142857143,0.22104347826086956,0.18695652173913044,0.13008695652173913
0.09057142857142857,0.21941304347826088,0.18695652173913044,0.12432608695652174
0.09871428571428571,0.21830434782608696,0.1826086956521739,0.12047826086956522
0.10685714285714286,0.21793478260869562,0.18695652173913044,0.11506521739130436
0.11499999999999999,0.21891304347826085,0.19130434782608696,0.1132608695652174
0.12314285714285714,0.21943478260869567,0.19130434782608696,0.11056521739130434
0.13128571428571428,0.22293478260869562,0.19130434782608696,0.10984782608695652
0.13942857142857143,0.22528260869565217,0.19130434782608696,0.11297826086956521
0.14757142857142858,0.2270217391304348,0.1956521739130435,0.11697826086956523
0.15571428571428572,0.22884782608695653,0.19130434782608696,0.12206521739130435
0.16385714285714287,0.22839130434782612,0.19130434782608696,0.11800000000000001
0.172,0.22984782608695653,0.18695652173913044,0.11945652173913045
0.18014285714285713,0.23067391304347826,0.19130434782608696,0.11889130434782608
0.18828571428571428,0.2296521739130435,0.18695652173913044,0.11208695652173914
0.19642857142857142,0.2303913043478261,0.2,0.11026086956521738
0.20457142857142857,0.23154347826086955,0.20869565217391303,0.10984782608695652
0.21271428571428572,0.23202173913043478,0.21304347826086956,0.10558695652173913
0.22085714285714286,0.2333478260869565,0.20869565217391303,0.10269565217391304
0.22899999999999998,0.2329130434782609,0.20434782608695654,0.09934782608695651
0.23714285714285713,0.23434782608695656,0.21304347826086956,0.0981304347826087
0.24528571428571427,0.23408695652173914,0.21304347826086956,0.09613043478260869
0.25342857142857145,0.23832608695652177,0.23043478260869565,0.09415217391304348
0.26157142857142857,0.24452173913043482,0.23478260869565218,0.09230434782608696
0.2697142857142857,0.24845652173913046,0.23478260869565218,0.0878913043478261
0.27785714285714286,0.25382608695652176,0.2565217391304348,0.08369565217391305
0.286,0.26182608695652176,0.2565217391304348,0.0788695652173913
0.29414285714285715,0.265804347826087,0.2565217391304348,0.0769782608695652
0.30228571428571427,0.2695434782608696,0.2565217391304348,0.07697826086956523
0.31042857142857144,0.27265217391304347,0.2565217391304348,0.07660869565217392
0.31857142857142856,0.275,0.2565217391304348,0.07747826086956522
0.32671428571428573,0.2827173913043478,0.2565217391304348,0.0841521739130435
0.33485714285714285,0.28593478260869565,0.2565217391304348,0.08741304347826089
0.34299999999999997,0.2862391304347826,0.2565217391304348,0.0857608695652174
0.35114285714285715,0.28456521739130436,0.2565217391304348,0.08121739130434782
0.35928571428571426,0.28369565217391307,0.2565217391304348,0.07721739130434782
0.36742857142857144,0.28395652173913044,0.2565217391304348,0.07626086956521738
0.37557142857142856,0.2830434782608696,0.2565217391304348,0.07326086956521739
0.38371428571428573,0.2837391304347826,0.2565217391304348,0.07221739130434783
0.39185714285714285,0.28471739130434787,0.2565217391304348,0.06993478260869565
0.4,0.28621739130434787,0.2608695652173913,0.06917391304347827
