Depth,Loss,BiasSquare,Variance
1,0.2471304347826087,0.22608695652173913,0.12373913043478262
2,0.22458695652173916,0.19130434782608696,0.10702173913043478
3,0.23997826086956522,0.21304347826086956,0.1378478260869565
4,0.24313043478260865,0.1956521739130435,0.161
5,0.2507391304347826,0.1826086956521739,0.17569565217391303
6,0.25971739130434784,0.19130434782608696,0.19206521739130433
7,0.26815217391304347,0.1956521739130435,0.20432608695652177
8,0.2757608695652174,0.18695652173913044,0.21106521739130435
9,0.28004347826086956,0.1782608695652174,0.21469565217391307
10,0.280695652173913,0.18695652173913044,0.21682608695652172
11,0.2832608695652174,0.1826086956521739,0.21778260869565216
12,0.28323913043478266,0.19130434782608696,0.21789130434782605
13,0.28443478260869565,0.19130434782608696,0.2172173913043478
14,0.28430434782608693,0.19130434782608696,0.21691304347826088
15,0.28382608695652173,0.1956521739130435,0.21678260869565216
16,0.2842391304347826,0.1956521739130435,0.2169782608695652
17,0.28439130434782606,0.1956521739130435,0.21686956521739129
18,0.28439130434782606,0.1956521739130435,0.21686956521739129
19,0.28439130434782606,0.1956521739130435,0.21686956521739129
20,0.28439130434782606,0.1956521739130435,0.21686956521739129
