CV_Fold,Accuracy,Recall,Precision,FPR,ROC_AUC
1,72.22222222222221,51.35135135135135,61.29032258064516,16.901408450704224,67.22497145032357
2,75.0,51.35135135135135,67.85714285714286,12.676056338028175,69.3376475066616
3,76.85185185185185,70.27027027027027,65.0,19.718309859154925,75.27598020555767
4,69.1588785046729,24.324324324324326,64.28571428571429,7.14285714285714,58.59073359073359
5,76.63551401869158,56.75675675675676,70.0,12.857142857142856,71.94980694980696
6,76.85185185185185,43.24324324324324,80.0,5.633802816901412,68.80472021317091
7,76.85185185185185,62.16216216216216,67.64705882352942,15.492957746478876,73.33460220784164
8,74.07407407407408,59.45945945945946,62.857142857142854,18.309859154929576,70.57480015226496
9,72.89719626168224,27.027027027027028,83.33333333333334,2.857142857142858,62.08494208494207
10,79.43925233644859,56.75675675675676,77.77777777777779,8.571428571428575,74.09266409266408
11,79.62962962962963,54.054054054054056,80.0,7.042253521126762,73.50590026646366
12,73.14814814814815,51.35135135135135,63.33333333333333,15.492957746478876,67.92919680243624
13,76.85185185185185,40.54054054054054,83.33333333333334,4.225352112676061,68.15759421393224
14,73.83177570093457,40.54054054054054,71.42857142857143,8.571428571428575,65.98455598455598
15,70.09345794392523,45.94594594594595,58.620689655172406,17.14285714285714,64.4015444015444
16,72.22222222222221,40.54054054054054,65.21739130434783,11.267605633802813,64.63646745336888
17,69.44444444444444,24.324324324324326,64.28571428571429,7.042253521126762,58.641035401598785
18,72.22222222222221,32.432432432432435,70.58823529411765,7.042253521126762,62.69508945565284
19,75.70093457943925,48.64864864864865,72.0,9.999999999999998,69.32432432432432
20,75.70093457943925,48.64864864864865,72.0,9.999999999999998,69.32432432432432
21,77.77777777777779,56.75675675675676,72.41379310344827,11.267605633802813,72.74457556147698
22,67.5925925925926,45.94594594594595,53.125,21.126760563380287,62.40959269128283
23,74.07407407407408,59.45945945945946,62.857142857142854,18.309859154929576,70.57480015226496
24,72.89719626168224,43.24324324324324,66.66666666666666,11.428571428571432,65.9073359073359
25,80.37383177570094,59.45945945945946,78.57142857142857,8.571428571428575,75.44401544401545
0,76.08695652173914,57.831325301204814,70.58823529411765,13.605442176870753,72.11294156216704
